date,all_kwh,year,month,day,hour,day_of_week,is_weekend,season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,is_weekend_sin,is_weekend_cos,season_sin,season_cos,holiday,temperature,humidity,dew_point,temp_feels,precipitation,wet_bulb_temperature,is_day,sunshine_duration,direct_radiation,wind_speed,wind_direction,wind_gusts,shortwave_radiation,wind_dir_sin,wind_dir_cos,cooling_index,THI,dewpoint_spread,solar_load,wind_speed_sq,schedule_open,energy_type_numeric,CDH,CDH_Rolling_3h,hours_from_open,is_precooling,is_weekend_startup,is_startup_window,is_shutdown_window,lag24,lag168,weekend_lag168,weekday_lag24,ramp_24,mean_24_4h,temp_diff_24,temp_slope_3h
2024-12-22 02:00:00,909.7000000029802,2024,12,22,2,6,1,3,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,-0.6,71,-5.1,-5.2,0.0,-2.8,0,0.0,0.0,12.6,323,23.0,0.0,-0.6018150231520483,0.7986355100472928,0.0,1.80845,4.5,0.0,158.76,0,0,0.0,0.0,-8,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,0.0,0.0
2024-12-22 03:00:00,776.7999999970198,2024,12,22,3,6,1,3,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,-0.7,73,-4.9,-5.5,0.0,-2.8,0,0.0,0.0,13.8,325,24.8,0.0,-0.5735764363510465,0.8191520442889916,0.0,1.5572,4.2,0.0,190.44000000000003,0,0,0.0,0.0,-7,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,-0.09999999999999998,0.0
2024-12-22 04:00:00,702.2000000029802,2024,12,22,4,6,1,3,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,-0.6,73,-4.8,-5.4,0.0,-2.7,0,0.0,0.0,13.8,328,27.0,0.0,-0.529919264233205,0.8480480961564258,0.0,1.64235,4.2,0.0,190.44000000000003,0,0,0.0,0.0,-6,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,0.0,0.0
2024-12-22 05:00:00,783.2999999970198,2024,12,22,5,6,1,3,0.9659258262890684,0.2588190451025207,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,-0.7,74,-4.8,-5.2,0.0,-2.8,0,0.0,0.0,12.1,327,25.6,0.0,-0.544639035015027,0.838670567945424,0.0,1.4736,4.1,0.0,146.41,0,0,0.0,0.0,-5,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,-0.09999999999999998,-0.09999999999999998
2024-12-22 06:00:00,616.7000000029802,2024,12,22,6,6,1,3,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,-0.9,75,-4.7,-5.3,0.0,-2.9,0,0.0,0.0,11.2,327,22.0,0.0,-0.544639035015027,0.838670567945424,0.0,1.2175000000000002,3.8,0.0,125.43999999999998,0,0,0.0,0.0,-4,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,-0.30000000000000004,-0.20000000000000007
2024-12-22 07:00:00,613.2999999970198,2024,12,22,7,6,1,3,0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,-1.0,77,-4.6,-5.4,0.0,-2.9,1,0.0,0.0,11.3,329,20.5,0.0,-0.5150380749100545,0.8571673007021121,0.0,0.96075,3.6,0.0,127.69,0,0,0.0,0.0,-3,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,-0.4,-0.4
2024-12-22 08:00:00,692.5,2024,12,22,8,6,1,3,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,0.4,73,-4.0,-3.8,0.0,-1.8,1,1479.76,18.0,10.2,330,22.0,63.0,-0.5000000000000004,0.8660254037844384,0.0,2.49385,4.4,81.0,104.04,0,0,0.0,0.0,-2,1,1,1,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,1.0,1.1
2024-12-22 09:00:00,962.2000000029802,2024,12,22,9,6,1,3,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,2.8,61,-3.9,-1.6,0.0,-0.4,1,3600.0,81.0,12.0,334,26.3,194.0,-0.4383711467890778,0.8987940462991668,0.0,5.30965,6.699999999999999,275.0,144.0,0,0,0.0,0.0,-1,1,1,1,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,3.4,3.6999999999999997
2024-12-22 10:00:00,1368.7999999970198,2024,12,22,10,6,1,3,0.4999999999999999,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,4.6,56,-3.4,0.1,0.0,0.9,1,3600.0,170.0,12.6,338,28.4,327.0,-0.3746065934159123,0.9271838545667872,0.0,6.995799999999999,8.0,497.0,158.76,1,0,0.0,0.0,0,0,0,1,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,5.199999999999999,5.6
2024-12-22 11:00:00,3110.0,2024,12,22,11,6,1,3,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,5.8,53,-2.9,1.3,0.0,1.7,1,3600.0,237.0,13.3,347,30.6,436.0,-0.2249510543438653,0.9743700647852352,0.0,8.04895,8.7,673.0,176.89,1,1,0.0,0.0,1,0,0,1,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,6.3999999999999995,5.3999999999999995
2024-12-22 12:00:00,4172.20000000298,2024,12,22,12,6,1,3,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,6.5,52,-2.5,2.0,0.0,2.3,1,3600.0,208.0,13.9,4,31.0,451.0,0.0697564737441253,0.9975640502598242,0.0,8.612,9.0,659.0,193.21,1,1,0.0,0.0,2,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,7.1,3.7
2024-12-22 13:00:00,4205.79999999702,2024,12,22,13,6,1,3,-0.2588190451025208,-0.9659258262890684,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,7.1,50,-2.7,2.6,0.0,2.6,1,3600.0,182.0,13.9,10,32.4,421.0,0.1736481776669303,0.984807753012208,0.0,9.135,9.8,603.0,193.21,1,1,0.0,0.0,3,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,7.699999999999999,2.5
2024-12-22 14:00:00,4596.20000000298,2024,12,22,14,6,1,3,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,6.8,52,-2.5,2.2,0.0,2.4,1,1370.11,54.0,14.0,18,31.3,265.0,0.3090169943749474,0.9510565162951536,0.0,8.832799999999999,9.3,319.0,196.0,1,1,0.0,0.0,4,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,7.3999999999999995,1.0
2024-12-22 15:00:00,4465.5,2024,12,22,15,6,1,3,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,6.4,54,-2.3,1.9,0.0,2.3,1,0.0,18.0,13.5,13,30.2,181.0,0.224951054343865,0.9743700647852352,0.0,8.449300000000001,8.7,199.0,182.25,1,1,0.0,0.0,5,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,7.0,-0.09999999999999964
2024-12-22 16:00:00,4663.29999999702,2024,12,22,16,6,1,3,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,5.9,56,-2.3,1.5,0.0,2.0,1,0.0,5.0,13.2,14,28.4,78.0,0.2419218955996677,0.9702957262759964,0.0,7.9812,8.2,83.0,174.23999999999998,1,1,0.0,0.0,6,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,6.5,-1.1999999999999993
2024-12-22 17:00:00,4583.5,2024,12,22,17,6,1,3,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,5.4,60,-1.7,2.1,0.0,1.9,0,0.0,0.0,6.3,358,27.4,17.0,-0.0348994967025008,0.9993908270190958,0.0,7.402000000000001,7.1000000000000005,17.0,39.69,1,1,0.0,0.0,7,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,6.0,-1.3999999999999995
2024-12-22 18:00:00,6252.20000000298,2024,12,22,18,6,1,3,-1.0,-1.8369701987210287e-16,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,5.0,64,-1.4,1.7,0.0,1.8,0,0.0,0.0,6.1,355,11.5,0.0,-0.0871557427476583,0.9961946980917455,0.0,6.881,6.4,0.0,37.21,1,2,0.0,0.0,8,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,5.6,-1.4000000000000004
2024-12-22 19:00:00,4745.0,2024,12,22,19,6,1,3,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,4.5,67,-1.1,1.2,0.0,1.6,0,0.0,0.0,7.0,334,12.6,0.0,-0.4383711467890778,0.8987940462991668,0.0,6.315,5.6,0.0,49.0,1,1,0.0,0.0,9,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,5.1,-1.4000000000000004
2024-12-22 20:00:00,4861.5,2024,12,22,20,6,1,3,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,4.4,67,-1.1,1.1,0.0,1.6,0,0.0,0.0,7.3,340,13.3,0.0,-0.3420201433256686,0.9396926207859084,0.0,6.23315,5.5,0.0,53.29,1,1,0.0,0.0,10,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,5.0,-1.0
2024-12-22 21:00:00,4708.5,2024,12,22,21,6,1,3,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,4.5,66,-1.3,0.9,0.0,1.5,0,0.0,0.0,8.2,337,15.5,0.0,-0.3907311284892739,0.9205048534524404,0.0,6.37,5.8,0.0,67.24,1,1,0.0,0.0,11,0,0,0,0,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,5.1,-0.5
2024-12-22 22:00:00,4787.79999999702,2024,12,22,22,6,1,3,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,4.3,67,-1.2,0.8,0.0,1.4,0,0.0,0.0,8.4,344,15.1,0.0,-0.2756373558169989,0.9612616959383188,0.0,6.151299999999999,5.5,0.0,70.56,1,1,0.0,0.0,12,0,0,0,1,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,4.8999999999999995,-0.20000000000000018
2024-12-22 23:00:00,4190.0,2024,12,22,23,6,1,3,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,4.2,67,-1.3,0.6,0.0,1.4,0,0.0,0.0,8.7,342,16.6,0.0,-0.3090169943749477,0.9510565162951536,0.0,6.06945,5.5,0.0,75.68999999999998,0,1,0.0,0.0,13,0,0,0,1,909.7000000029802,909.7000000029802,909.7000000029802,0.0,0.0,909.7000000029802,4.8,-0.20000000000000018
2024-12-23 00:00:00,2254.0,2024,12,23,0,0,0,3,0.0,1.0,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,3.9,68,-1.4,0.3,0.0,1.1,0,0.0,0.0,8.1,359,15.8,0.0,-0.0174524064372835,0.9998476951563912,0.0,5.7656,5.3,0.0,65.61,0,0,0.0,0.0,-10,0,0,0,0,909.7000000029802,909.7000000029802,0.0,909.7000000029802,0.0,909.7000000029802,4.5,-0.6000000000000001
2024-12-23 01:00:00,1408.0,2024,12,23,1,0,0,3,0.2588190451025207,0.9659258262890684,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,3.7,70,-1.4,-0.2,0.0,1.0,0,0.0,0.0,10.6,2,19.1,0.0,0.0348994967025009,0.9993908270190958,0.0,5.482000000000001,5.1,0.0,112.36,0,0,0.0,0.0,-9,0,0,0,0,909.7000000029802,909.7000000029802,0.0,909.7000000029802,0.0,909.7000000029802,4.3,-0.5999999999999996
2024-12-23 02:00:00,821.0,2024,12,23,2,0,0,3,0.4999999999999999,0.8660254037844387,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,3.5,71,-1.2,-0.1,0.0,1.0,0,0.0,0.0,8.5,347,19.4,0.0,-0.2249510543438653,0.9743700647852352,0.0,5.2545,4.7,0.0,72.25,0,0,0.0,0.0,-8,0,0,0,0,909.7000000029802,909.7000000029802,0.0,909.7000000029802,0.0,909.7000000029802,4.1,-0.7000000000000002
2024-12-23 03:00:00,696.0,2024,12,23,3,0,0,3,0.7071067811865476,0.7071067811865476,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,3.3,73,-1.0,-0.2,0.0,1.0,0,0.0,0.0,8.5,343,16.2,0.0,-0.2923717047227371,0.9563047559630352,0.0,4.9632000000000005,4.3,0.0,72.25,0,0,0.0,0.0,-7,0,0,0,0,776.7999999970198,909.7000000029802,0.0,776.7999999970198,-132.90000000596046,876.4750000014901,4.0,-0.6000000000000001
2024-12-23 04:00:00,748.2000000029802,2024,12,23,4,0,0,3,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,3.4,74,-0.8,-0.1,0.0,1.1,0,0.0,0.0,8.9,354,16.2,0.0,-0.1045284632676534,0.9945218953682732,0.0,4.9873,4.2,0.0,79.21000000000001,0,0,0.0,0.0,-6,0,0,0,0,702.2000000029802,909.7000000029802,0.0,702.2000000029802,-74.59999999403954,824.6000000014901,4.0,-0.30000000000000027
2024-12-23 05:00:00,605.7999999970198,2024,12,23,5,0,0,3,0.9659258262890684,0.2588190451025207,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,3.3,75,-0.7,-0.1,0.0,1.1,0,0.0,0.0,7.9,3,16.2,0.0,0.0523359562429438,0.9986295347545738,0.0,4.84,4.0,0.0,62.41,0,0,0.0,0.0,-5,0,0,0,0,783.2999999970198,909.7000000029802,0.0,783.2999999970198,81.09999999403954,793.0,4.0,-0.20000000000000018
2024-12-23 06:00:00,574.7000000029802,2024,12,23,6,0,0,3,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,3.3,76,-0.5,-0.0,0.0,1.2,0,0.0,0.0,7.6,359,14.0,0.0,-0.0174524064372835,0.9998476951563912,0.0,4.7784,3.8,0.0,57.76,0,0,0.0,0.0,-4,0,0,0,0,616.7000000029802,909.7000000029802,0.0,616.7000000029802,-166.59999999403954,719.75,4.2,0.0
2024-12-23 07:00:00,700.7999999970198,2024,12,23,7,0,0,3,0.9659258262890684,-0.2588190451025206,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,3.5,76,-0.4,0.1,0.0,1.3,1,0.0,0.0,8.3,359,14.8,0.0,-0.0174524064372835,0.9998476951563912,0.0,4.952,3.9,0.0,68.89000000000001,0,0,0.0,0.0,-3,0,0,0,0,613.2999999970198,909.7000000029802,0.0,613.2999999970198,-3.4000000059604645,678.875,4.5,0.10000000000000009
2024-12-23 08:00:00,668.7000000029802,2024,12,23,8,0,0,3,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,4.0,75,-0.1,0.7,0.0,1.7,1,0.0,0.0,7.9,347,15.8,27.0,-0.2249510543438653,0.9743700647852352,0.0,5.44375,4.1,27.0,62.41,0,0,0.0,0.0,-2,1,0,1,0,692.5,909.7000000029802,0.0,692.5,79.20000000298023,676.4499999992549,3.6,0.7000000000000002
2024-12-23 09:00:00,1016.0,2024,12,23,9,0,0,3,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,5.3,72,0.8,2.5,0.0,2.8,1,0.0,4.0,5.6,358,13.0,76.0,-0.0348994967025008,0.9993908270190958,0.0,6.7168,4.5,80.0,31.36,0,0,0.0,0.0,-1,1,0,1,0,962.2000000029802,909.7000000029802,0.0,962.2000000029802,269.70000000298023,721.1750000007451,2.5,2.0
2024-12-23 10:00:00,1495.7999999970198,2024,12,23,10,0,0,3,0.4999999999999999,-0.8660254037844387,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,7.2,66,1.2,4.3,0.0,4.0,1,579.1,34.0,6.3,357,17.6,184.0,-0.0523359562429443,0.9986295347545738,0.0,8.565100000000001,6.0,218.0,39.69,1,0,0.0,0.0,0,0,0,1,0,1368.7999999970198,909.7000000029802,0.0,1368.7999999970198,406.59999999403954,909.1999999992549,2.6000000000000005,3.7
